# Lezione 31: Suoni e Rumori
# Dominio: percezione uditiva, acustica
# Ancore da: lezioni 00-30 (756 parole note)

# === SUONI NATURALI ===
tuono: forte grande paura cielo / calma
fragore: forte grande io paura / calma
boato: forte grande io paura / piccolo
rombo: forte grande lento io / piccolo
sibilo: forte piccolo veloce io / grande
fruscio: piccolo lento io dentro / forte

# === SUONI ANIMALI ===
ululato: forte lontano notte io / calma
ruggito: forte grande paura io / piccolo
muggito: forte grande io animale / piccolo
belato: piccolo io animale dentro / grande
cinguettio: piccolo veloce io dentro / grande
gracidare: piccolo io acqua notte / giorno

# === SUONI UMANI ===
sussurro: piccolo dentro io tu / forte
bisbiglio: piccolo dentro io tu / forte
grido: forte grande io paura / calma
urlo: forte grande io paura / calma
gemito: piccolo dentro io dolore / gioia
sospiro: piccolo dentro io tristezza / gioia
singhiozzo: piccolo dentro io piangere / ridere

# === SUONI MECCANICI ===
stridore: forte cattivo io dentro / buono
cigolare: piccolo lento io dentro / forte
tintinnio: piccolo veloce io dentro / grande
scricchiolio: piccolo lento io dentro / forte
