# Lezione 35: Forme e Geometrie
# Dominio: spazio, figure, configurazioni
# Ancore da: lezioni 00-34 (756+ parole note)

# === FORME BASE ===
cerchio: dentro fuori io vedere / dentro
sfera: dentro fuori io grande / piccolo
quadrato: dentro fuori io vedere / cerchio
cubo: dentro fuori io grande / piccolo
triangolo: dentro fuori io vedere / cerchio

# === LINEE ===
retta: lungo io vedere dentro / dentro
curva: lungo io vedere dentro / retta
spirale: lungo io dentro dentro / retta
zigzag: lungo io dentro dentro / retta

# === QUALITÀ SPAZIALI ===
simmetrico: io vedere dentro dentro / no
asimmetrico: io vedere dentro no / simmetrico
regolare: io vedere dentro dentro / no
irregolare: io vedere dentro no / regolare
uniforme: io vedere dentro dentro / no

# === CONFIGURAZIONI ===
parallelo: io vedere dentro vicino / lontano
perpendicolare: io vedere dentro dentro / parallelo
obliquo: io vedere dentro dentro / retta
concentrico: io vedere dentro dentro / fuori

# === DIMENSIONI ===
piano: io vedere dentro dentro / alto
volume: io vedere dentro grande / piccolo
superficie: io vedere fuori dentro / dentro
spessore: io vedere dentro grande / piccolo
