# Lezione 45: Piante e Vegetazione (NATURA)
# Dominio: flora, botanica, verde
# Ancore da: lezioni 00-44 (939+ parole note)

# === ALBERI ===
quercia: albero grande forte duro / piccolo
faggio: albero grande forte alto / basso
pino: albero alto forte verde / basso
abete: albero alto verde freddo / caldo
cipresso: albero alto dentro verde / basso
olivo: albero forte verde dentro / debole
salice: albero acqua dentro morbido / duro

# === ARBUSTI ===
cespuglio: piccolo verde dentro terra / grande
rovo: piccolo verde dentro duro / morbido
ginepro: piccolo verde forte dentro / debole

# === FIORI ===
rosa: fiore bello dentro rosso / brutto
giglio: fiore bello bianco dentro / brutto
viola: fiore piccolo bello dentro / grande
margherita: fiore piccolo bianco dentro / grande
tulipano: fiore bello dentro dentro / brutto

# === ERBE ===
erba: piccolo verde terra dentro / grande
gramigna: piccolo verde terra dentro / grande
felce: piccolo verde dentro dentro / grande
muschio: piccolo verde dentro morbido / duro
edera: piccolo verde dentro dentro / fuori

# === PARTI VEGETALI ===
radice: albero dentro terra dentro / fuori
tronco: albero dentro forte duro / morbido
ramo: albero dentro lungo forte / corto
foglia: albero verde piccolo dentro / grande
gemma: albero piccolo nuovo dentro / vecchio
bocciolo: fiore piccolo dentro nuovo / vecchio
petalo: fiore piccolo dentro morbido / duro
spina: dentro duro piccolo forte / morbido

# === FRUTTI ===
frutto: albero dentro buono bocca / cattivo
bacca: piccolo dentro buono bocca / grande
seme: piccolo dentro duro nuovo / vecchio
