# Lezione 57: Rinforzo Semantico Colori
# Dominio: associazione esplicita colore-cromaticità
# Formato: MANUALE (non compact)
# Ancore da: lezioni 00-56 (1312 parole note)

# === COLORI BASE + COLORE ===
rosso colore vedere io
colore rosso caldo fuoco
io vedere colore rosso

giallo colore vedere io
colore giallo sole luce
io vedere colore giallo

blu colore vedere io
colore blu cielo acqua
io vedere colore blu

verde colore vedere io
colore verde albero terra
io vedere colore verde

bianco colore vedere io
colore bianco luce tutto
io vedere colore bianco

nero colore vedere io
colore nero buio no
io vedere colore nero

# === COLORI SECONDARI + COLORE ===
arancione colore vedere io
colore arancione caldo sole
io vedere colore arancione

viola colore vedere io
colore viola dentro forte
io vedere colore viola

marrone colore vedere io
colore marrone terra legno
io vedere colore marrone

grigio colore vedere io
colore grigio buio luce
io vedere colore grigio

rosa colore vedere io
colore rosa caldo piccolo
io vedere colore rosa

azzurro colore vedere io
colore azzurro cielo luce
io vedere colore azzurro

# === COLORI ESTESI + COLORE ===
celeste colore vedere io
colore celeste cielo azzurro
io vedere colore celeste

turchese colore vedere io
colore turchese acqua azzurro
io vedere colore turchese

indaco colore vedere io
colore indaco blu forte
io vedere colore indaco

porpora colore vedere io
colore porpora rosso forte
io vedere colore porpora

ocra colore vedere io
colore ocra giallo terra
io vedere colore ocra

dorato colore vedere io
colore dorato oro luce
io vedere colore dorato

argenteo colore vedere io
colore argenteo argento luce
io vedere colore argenteo

smeraldo colore vedere io
colore smeraldo verde forte
io vedere colore smeraldo
