# Lezione 86: Matematica
# Dominio: numeri, operazioni, geometria, logica matematica
# Ancore da: lezioni 00-85 (1672+ parole note)

# === CONCETTI BASE ===
matematica: io pensare dentro forte dentro / no
numero: io dentro dentro dentro dentro / no
cifra: io dentro dentro dentro dentro / no
quantita: io dentro grande piccolo dentro / no

# === OPERAZIONI ===
addizione: io dentro insieme fare dentro / no
sottrazione: io dentro prendere fare dentro / no
moltiplicazione: io dentro grande fare dentro / no
divisione: io dentro piccolo fare dentro / no

# === RELAZIONI ===
uguale: io dentro stesso dentro dentro / no
diverso: io dentro no stesso dentro / uguale
maggiore: io dentro grande dentro dentro / minore
minore: io dentro piccolo dentro dentro / maggiore
superiore: io dentro alto grande dentro / inferiore
inferiore: io dentro basso piccolo dentro / superiore

# === PROPRIETÀ ===
pari: io dentro dentro dentro dentro / dispari
dispari: io dentro dentro dentro dentro / pari
positivo: io dentro dentro buono dentro / negativo
negativo: io dentro dentro cattivo dentro / positivo
intero: io dentro dentro tutto dentro / no
frazione: io dentro dentro piccolo dentro / intero

# === GEOMETRIA ===
angolo: io dentro dentro dentro dentro / no
raggio: io dentro lungo dentro dentro / no
diametro: io dentro lungo dentro dentro / no
perimetro: io dentro fuori dentro dentro / no
circonferenza: io dentro dentro dentro dentro / no

# === MISURE ===
distanza: io dentro lontano dentro dentro / vicino
lunghezza: io dentro lungo dentro dentro / corto
larghezza: io dentro dentro dentro dentro / no
altezza: io dentro alto dentro dentro / basso
profondita: io dentro dentro basso dentro / alto
